Date,Quarter,Department,Targeted Productivity,Overtime,No. of Workers,Actual Productivity
01-01-2015,Q1,Sewing,0.8,7080,59,0.940725424
01-01-2015,Q1,Finishing,0.75,960,8,0.8865
01-01-2015,Q1,Sewing,0.8,3660,30.5,0.800570492
01-01-2015,Q1,Sewing,0.8,3660,30.5,0.800570492
01-01-2015,Q1,Sewing,0.8,1920,56,
01-01-2015,Q1,Sewing,0.8,6720,56,0.800125
01-01-2015,Q1,Finishing,0.75,960,8,0.755166667
01-01-2015,Q1,Sewing,0.75,6900,57.5,0.753683478
01-01-2015,Q1,Sewing,0.75,6000,55,0.753097531
01-01-2015,Q1,Sewing,0.75,6900,57.5,0.750427826
01-01-2015,Q1,Sewing,0.7,6900,57.5,0.721126957
01-01-2015,Q1,Sewing,0.75,6480,54,0.712205247
01-01-2015,Q1,Sewing,0.8,3660,30.5,0.707045902
01-01-2015,Q1,Finishing,0.65,960,8,0.705916667
01-01-2015,Q1,Finishing,0.75,960,8,0.676666667
01-01-2015,Q1,Finishing,0.75,2160,18,0.593055556
01-01-2015,Q1,Finishing,0.8,960,8,0.540729167
01-01-2015,Q1,Sewing,0.65,7200,60,0.52118
01-01-2015,Q1,Finishing,0.7,1440,12,
01-03-2015,Q1,Finishing,0.8,6600,20,0.988024691
01-03-2015,Q1,Finishing,0.75,5640,17,0.987880435
01-03-2015,Q1,Finishing,0.8,960,8,0.956270833
01-03-2015,Q1,Finishing,0.75,1560,8,0.945277778
01-03-2015,Q1,Finishing,0.8,960,8,0.902916667
01-03-2015,Q1,Sewing,0.8,6300,56.5,0.800725314
01-03-2015,Q1,Sewing,0.8,6540,54.5,0.800322936
01-03-2015,Q1,Sewing,0.8,7080,59,0.800318644
01-03-2015,Q1,Sewing,0.8,7080,59,0.800318644
01-03-2015,Q1,Sewing,0.8,7080,29.5,0.800237288
01-03-2015,Q1,Sewing,0.8,7080,31.5,0.800148649
01-03-2015,Q1,Sewing,0.8,6720,56,0.800125
01-03-2015,Q1,Sewing,0.8,6720,56,0.800125
01-03-2015,Q1,Sewing,0.75,6480,54,0.787299691
01-03-2015,Q1,Finishing,0.8,960,8,0.782447917
01-03-2015,Q1,Sewing,0.75,6600,55,0.75024303
01-03-2015,Q1,Finishing,0.7,960,8,0.7018125
01-03-2015,Q1,Sewing,0.7,13800,60,0.700134038
01-03-2015,Q1,Sewing,0.7,6900,57.5,0.699965217
01-03-2015,Q1,Finishing,0.8,960,8,0.628333333
01-03-2015,Q1,Finishing,0.8,960,8,0.6253125
01-04-2015,Q1,Finishing,0.75,1560,8,0.991388889
01-04-2015,Q1,Finishing,0.8,960,8,0.931645833
01-04-2015,Q1,Finishing,0.8,960,8,0.915229167
01-04-2015,Q1,Sewing,0.8,6975,31,0.879714482
01-04-2015,Q1,Finishing,0.8,6600,20,0.861679012
01-04-2015,Q1,Sewing,0.8,7080,59,0.850569492
01-04-2015,Q1,Sewing,0.8,7020,56.5,0.850436438
01-04-2015,Q1,Sewing,0.8,6780,56.5,0.850345133
01-04-2015,Q1,Sewing,0.8,4260,55.5,0.800598058
01-04-2015,Q1,Sewing,0.8,7080,59,0.800318644
01-04-2015,Q1,Sewing,0.8,6660,55.5,0.800237838
01-04-2015,Q1,Sewing,0.8,6975,31,0.800030199
01-04-2015,Q1,Finishing,0.8,960,8,0.792104167
01-04-2015,Q1,Finishing,0.7,4320,18,0.759228395
01-04-2015,Q1,Sewing,0.75,6480,54,0.750348457
01-04-2015,Q1,Sewing,0.75,6600,55,0.75024303
01-04-2015,Q1,Sewing,0.7,6900,57.5,0.699965217
01-04-2015,Q1,Finishing,0.8,960,8,0.682708333
01-04-2015,Q1,Finishing,0.8,960,8,0.667604167
01-04-2015,Q1,Sewing,0.7,6960,58,0.603432184
01-04-2015,Q1,Finishing,0.75,960,8,0.345833333
01-05-2015,Q1,Finishing,0.8,1920,8,0.961059028
01-05-2015,Q1,Finishing,0.8,2400,10,0.939513889
01-05-2015,Q1,Finishing,0.8,3840,16,0.893663194
01-05-2015,Q1,Finishing,0.75,1920,8,0.875390625
01-05-2015,Q1,Sewing,0.8,7080,59,0.850569492
01-05-2015,Q1,Finishing,0.8,1920,8,0.820833333
01-05-2015,Q1,Finishing,What do you think should be here?,960,8,0.804416667
01-05-2015,Q1,Sewing,0.8,6780,56.5,0.800684366
01-05-2015,Q1,Sewing,0.8,6780,56.5,0.800684366
01-05-2015,Q1,Sewing,0.8,7080,59,0.800318644
01-05-2015,Q1,Sewing,0.8,4800,55,0.800250962
01-05-2015,Q1,Sewing,0.8,7200,32,0.800246011
